Ex-Dividend Date,Cash Amount,Record Date,Pay Date
"Feb 9, 2023",1.65000,"Feb 10, 2023","Mar 10, 2023"
"Nov 9, 2022",1.65000,"Nov 10, 2022","Dec 10, 2022"
"Aug 9, 2022",1.65000,"Aug 10, 2022","Sep 10, 2022"
"May 9, 2022",1.65000,"May 10, 2022","Jun 10, 2022"
"Feb 10, 2022",1.64000,"Feb 11, 2022","Mar 10, 2022"
"Nov 9, 2021",1.64000,"Nov 10, 2021","Dec 10, 2021"
"Aug 9, 2021",1.64000,"Aug 10, 2021","Sep 10, 2021"
"May 7, 2021",1.64000,"May 10, 2021","Jun 10, 2021"
"Feb 9, 2021",1.63000,"Feb 10, 2021","Mar 10, 2021"
"Nov 9, 2020",1.63000,"Nov 10, 2020","Dec 10, 2020"
"Aug 7, 2020",1.63000,"Aug 10, 2020","Sep 10, 2020"
"May 7, 2020",1.63000,"May 8, 2020","Jun 10, 2020"
"Feb 7, 2020",1.62000,"Feb 10, 2020","Mar 10, 2020"
"Nov 7, 2019",1.62000,"Nov 8, 2019","Dec 10, 2019"
"Aug 8, 2019",1.62000,"Aug 9, 2019","Sep 10, 2019"
"May 9, 2019",1.62000,"May 10, 2019","Jun 10, 2019"
"Feb 7, 2019",1.57000,"Feb 8, 2019","Mar 9, 2019"
"Nov 8, 2018",1.57000,"Nov 9, 2018","Dec 10, 2018"
"Aug 9, 2018",1.57000,"Aug 10, 2018","Sep 10, 2018"
"May 9, 2018",1.57000,"May 10, 2018","Jun 9, 2018"
"Feb 8, 2018",1.50000,"Feb 9, 2018","Mar 10, 2018"
"Nov 9, 2017",1.50000,"Nov 10, 2017","Dec 9, 2017"
"Aug 8, 2017",1.50000,"Aug 10, 2017","Sep 9, 2017"
"May 8, 2017",1.50000,"May 10, 2017","Jun 10, 2017"
"Feb 8, 2017",1.40000,"Feb 10, 2017","Mar 10, 2017"
"Nov 8, 2016",1.40000,"Nov 10, 2016","Dec 10, 2016"
"Aug 8, 2016",1.40000,"Aug 10, 2016","Sep 10, 2016"
"May 6, 2016",1.40000,"May 10, 2016","Jun 10, 2016"
"Feb 8, 2016",1.30000,"Feb 10, 2016","Mar 10, 2016"
"Nov 6, 2015",1.30000,"Nov 10, 2015","Dec 10, 2015"
"Aug 6, 2015",1.30000,"Aug 10, 2015","Sep 10, 2015"
"May 6, 2015",1.30000,"May 8, 2015","Jun 10, 2015"
"Feb 6, 2015",1.10000,"Feb 10, 2015","Mar 10, 2015"
"Nov 6, 2014",1.10000,"Nov 10, 2014","Dec 10, 2014"
"Aug 6, 2014",1.10000,"Aug 8, 2014","Sep 10, 2014"
"May 7, 2014",1.10000,"May 9, 2014","Jun 10, 2014"
"Feb 6, 2014",0.95000,"Feb 10, 2014","Mar 10, 2014"
"Nov 6, 2013",0.95000,"Nov 8, 2013","Dec 10, 2013"
"Aug 7, 2013",0.95000,"Aug 9, 2013","Sep 10, 2013"